ユニット名,"上位ユニット
完全名","ユニット
種別",位置情報,, サイズ ,,コメント,先行,"接続
種別","実行
エージェント","実行順序
制御","多重
起動","保存
世代数","優先
順位","上位のジョブネットに
依存する",有効範囲,"ジョブ
グループ名","排他
ジョブネット名","リンクする
ルール番号","開始
時刻","処理
サイクル",遅延監視,,起動条件,コマンド文
SLPRN_080MSTB0231222,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02313,j,8,3,,,create_item_attribute_UQMO,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute -e BATCH_PROCESS_TARGET=""1/26"""
SLPRN_080MSTB023123,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02313,j,4,3,,,create_item_attribute_UQKR,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute -e BATCH_PROCESS_TARGET=""1/05"""
SLPRN_080MSTB023128,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02313,j,2,3,,,create_item_attribute_UQTW,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute -e BATCH_PROCESS_TARGET=""1/10"""
SLP01N_080MSTB0242,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,49,16,65,50,create_monthly_item_attribute_by_store_by_sales_sum_code_JP,SLP01N_OSLP2392X0100013,seq,pajsm21,しない,n,1,,n,,,,1,24:30:00,1日毎,,,,
SLPRN_080MSTB0242_0,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0242,j,1,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code_0,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""1/01/10/0"""
SLPRN_080MSTB0242_1,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0242,j,3,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code_1,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""1/01/10/1"""
SLPRN_080MSTB0242_2,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0242,j,5,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code_2,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""1/01/10/2"""
SLPRN_080MSTB0242_3,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0242,j,7,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code_3,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""1/01/10/3"""
SLPRN_080MSTB0242_4,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0242,j,9,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code_4,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""1/01/10/4"""
SLPRN_080MSTB0242_5,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0242,j,11,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code_5,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""1/01/10/5"""
SLPRN_080MSTB0242_6,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0242,j,13,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code_6,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""1/01/10/6"""
SLPRN_080MSTB0242_7,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0242,j,15,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code_7,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""1/01/10/7"""
SLPRN_080MSTB0242_8,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0242,j,17,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code_8,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""1/01/10/8"""
SLPRN_080MSTB0242_9,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0242,j,19,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code_9,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""1/01/10/9"""
SLP01N_080MSTB02422,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,55,16,65,50,create_monthly_item_attribute_by_store_by_sales_sum_code,SLP01N_OSLP2392X010001,seq,pajsm21,しない,n,1,,n,,,,1,29:30:00,1日毎,,,,
SLPRN_080MSTB02122,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02422,j,9,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""5/01/1/0"""
SLPRN_080MSTB0212222,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02422,j,5,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""1/10/1/0"""
SLPRN_080MSTB02122222,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02422,j,13,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""5/10/1/0"""
SLPRN_080MSTB02122223,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02422,j,3,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""1/06/1/0"""
SLPRN_080MSTB021232,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02422,j,7,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""1/26/1/0"""
SLPRN_080MSTB0212322,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02422,j,11,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""5/06/1/0"""
SLPRN_080MSTB0212323,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02422,j,1,2,,,create_monthly_item_attribute_by_store_by_sales_sum_code,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-monthly-item-attribute-by-store-by-sales-sum-code -e BATCH_PROCESS_TARGET=""1/05/1/0"""
SLP01N_080MSTB0268,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,45,51,65,50,create_item_attribute_monthly_JP,"SLP01N_080MSTB02312
SLP01N_080MSTB0242
SLPRN_080MSTB0213
SLPRN_080MSTB0214
SLPRN_080MSTB0276","seq
seq
seq
seq
seq",pajsm21,しない,n,1,,n,,,,1,29:30:00,1日毎,30:30:00,31:00:00,,
SLPRN_080MSTB02681_0,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,2,3,,,create_item_attribute_monthly_UQJP_0_0,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/0"" -e DISTRIBUTED_PROCESS_NUMBER=""0"""
SLPRN_080MSTB02681_1,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,4,3,,,create_item_attribute_monthly_UQJP_0_1,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/1"" -e DISTRIBUTED_PROCESS_NUMBER=""0"""
SLPRN_080MSTB02681_2,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,6,3,,,create_item_attribute_monthly_UQJP_0_2,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/2"" -e DISTRIBUTED_PROCESS_NUMBER=""0"""
SLPRN_080MSTB02681_3,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,8,3,,,create_item_attribute_monthly_UQJP_0_3,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/3"" -e DISTRIBUTED_PROCESS_NUMBER=""0"""
SLPRN_080MSTB02681_4,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,10,3,,,create_item_attribute_monthly_UQJP_0_4,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/4"" -e DISTRIBUTED_PROCESS_NUMBER=""0"""
SLPRN_080MSTB02681_5,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,12,3,,,create_item_attribute_monthly_UQJP_0_5,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/5"" -e DISTRIBUTED_PROCESS_NUMBER=""0"""
SLPRN_080MSTB02681_6,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,14,3,,,create_item_attribute_monthly_UQJP_0_6,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/6"" -e DISTRIBUTED_PROCESS_NUMBER=""0"""
SLPRN_080MSTB02681_7,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,16,3,,,create_item_attribute_monthly_UQJP_0_7,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/7"" -e DISTRIBUTED_PROCESS_NUMBER=""0"""
SLPRN_080MSTB02681_8,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,18,3,,,create_item_attribute_monthly_UQJP_0_8,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/8"" -e DISTRIBUTED_PROCESS_NUMBER=""0"""
SLPRN_080MSTB02681_9,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,20,3,,,create_item_attribute_monthly_UQJP_0_9,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/9"" -e DISTRIBUTED_PROCESS_NUMBER=""0"""
SLPRN_080MSTB02682_0,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,2,5,,,create_item_attribute_monthly_UQJP_1_0,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/0"" -e DISTRIBUTED_PROCESS_NUMBER=""1"""
SLPRN_080MSTB02682_1,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,4,5,,,create_item_attribute_monthly_UQJP_1_1,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/1"" -e DISTRIBUTED_PROCESS_NUMBER=""1"""
SLPRN_080MSTB02682_2,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,6,5,,,create_item_attribute_monthly_UQJP_1_2,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/2"" -e DISTRIBUTED_PROCESS_NUMBER=""1"""
SLPRN_080MSTB02682_3,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,8,5,,,create_item_attribute_monthly_UQJP_1_3,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/3"" -e DISTRIBUTED_PROCESS_NUMBER=""1"""
SLPRN_080MSTB02682_4,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,10,5,,,create_item_attribute_monthly_UQJP_1_4,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/4"" -e DISTRIBUTED_PROCESS_NUMBER=""1"""
SLPRN_080MSTB02682_5,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,12,5,,,create_item_attribute_monthly_UQJP_1_5,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/5"" -e DISTRIBUTED_PROCESS_NUMBER=""1"""
SLPRN_080MSTB02682_6,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,14,5,,,create_item_attribute_monthly_UQJP_1_6,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/6"" -e DISTRIBUTED_PROCESS_NUMBER=""1"""
SLPRN_080MSTB02682_7,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,16,5,,,create_item_attribute_monthly_UQJP_1_7,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/7"" -e DISTRIBUTED_PROCESS_NUMBER=""1"""
SLPRN_080MSTB02682_8,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,18,5,,,create_item_attribute_monthly_UQJP_1_8,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/8"" -e DISTRIBUTED_PROCESS_NUMBER=""1"""
SLPRN_080MSTB02682_9,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB0268,j,20,5,,,create_item_attribute_monthly_UQJP_1_9,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""1/01/10/9"" -e DISTRIBUTED_PROCESS_NUMBER=""1"""
SLP01N_080MSTB02682,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,39,51,65,50,create_item_attribute_monthly_GU,"SLP01N_080MSTB02311
SLP01N_080MSTB02422
SLPRN_080MSTB0213
SLPRN_080MSTB0214
SLPRN_080MSTB0276_GU","seq
seq
seq
seq
seq",pajsm21,しない,n,1,,n,,,,1,29:30:00,1日毎,30:30:00,31:00:00,,
SLPRN_080MSTB02681_0,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02682,j,2,3,,,create_item_attribute_monthly_GUJP_0_0,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""5/01/10/0"" -e DISTRIBUTED_PROCESS_NUMBER=""0"""
SLPRN_080MSTB02681_1,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02682,j,4,3,,,create_item_attribute_monthly_GUJP_0_1,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""5/01/10/1"" -e DISTRIBUTED_PROCESS_NUMBER=""0"""
SLPRN_080MSTB02681_2,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02682,j,6,3,,,create_item_attribute_monthly_GUJP_0_2,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""5/01/10/2"" -e DISTRIBUTED_PROCESS_NUMBER=""0"""
SLPRN_080MSTB02681_3,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02682,j,8,3,,,create_item_attribute_monthly_GUJP_0_3,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute-monthly -e BATCH_PROCESS_TARGET=""5/01/10/3"" -e DISTRIBUTED_PROCESS_NUMBER=""0"""
